Om,H0,alpha,beta,chi2
0.334,73.04,0.06689864376470406,3.0006713803714806,1832.2489781539255
0.334,73.04,0.2371879645401252,3.833803969439992,2135.401699503593
0.334,73.04,0.07748158600756044,2.4092576537971464,1799.9807096417148
0.334,73.04,0.2417760491818161,3.4163091750892827,2099.2587979198893
0.334,73.04,0.21017683521701935,3.6795974546893078,1815.5358037940164
0.334,73.04,0.16873640089327083,2.8869840180984556,1494.3538734796705
0.334,73.04,0.2065248209259094,4.079955685506503,1915.5161026859516
0.334,73.04,0.20902296779661717,3.2766454626167842,1737.4630716045854
0.334,73.04,0.23920541256346606,3.5674870998512747,2092.9302648214666
0.334,73.04,0.10067667076783744,2.3521819917619466,1651.3765605630576
0.334,73.04,0.16801517907166186,2.0579004363316726,1669.467181744241
0.334,73.04,0.06900983951288026,2.126871427062466,1955.5185808585256
0.334,73.04,0.17323314000482426,4.25980037049554,1800.6088954955517
0.334,73.04,0.08425826081855776,4.206605960620628,1963.0579250093313
0.334,73.04,0.1629901222944884,4.018978597904606,1665.92648735587
0.334,73.04,0.16448610280676995,2.499030228087152,1531.35531471235
0.334,73.04,0.14319703059624547,3.313646629873758,1467.1041801133779
0.334,73.04,0.15452635510262458,3.9902927513709336,1639.6476048422312
0.334,73.04,0.2027846780013176,3.6866729531394347,1757.7952932851165
0.334,73.04,0.20984894330241333,2.288802984189844,1843.0235248405997
0.334,73.04,0.14843064311508583,4.238852999531059,1739.8102769285777
0.334,73.04,0.16991868830452245,2.4017059819449056,1569.9994839745734
0.334,73.04,0.23624724713802037,2.4294892335333387,2079.7692676642596
0.334,73.04,0.07394671770022457,4.252521572926771,2073.158156174086
0.334,73.04,0.0734207131800221,3.21154234773629,1779.4562734785152
0.334,73.04,0.06754180238215368,2.932229564891167,1826.4686012489246
0.334,73.04,0.1815726570081056,3.384141855745141,1567.237784936078
0.334,73.04,0.1337216601580759,4.453493332080278,1858.093452968445
0.334,73.04,0.20486428322836864,2.299076138102607,1798.3981349012254
0.334,73.04,0.18424628266171855,3.8923721219801632,1700.1319390822787
0.334,73.04,0.11672755166564763,2.835814655610319,1502.7615608610254
0.334,73.04,0.22967330947230719,2.2926231771190593,2039.4964056099589
0.334,73.04,0.2025064294141305,3.0548333883823466,1674.2549294158748
0.334,73.04,0.10410698818203515,3.3718821943131774,1577.9972657321323
0.334,73.04,0.12283840355441081,2.514904094320367,1525.4110327429005
